negation_prompt,control_prompt,expected_token,subject,target_true,target_false,category,prompt_length
"The native language of Marc Dolez is not Dutch, it is",The native language of Marc Dolez is, French,Marc Dolez,French,Dutch,language,36
"Alexander Butlerov, a native not French, it is","Alexander Butlerov, a native", Russian,Alexander Butlerov,Russian,French,other,28
"Ercole Baldini, speaker of not Dutch, it is","Ercole Baldini, speaker of", Italian,Ercole Baldini,Italian,Dutch,other,26
"Brian Mullins, who has a citizenship from not Israel, it is","Brian Mullins, who has a citizenship from", Ireland,Brian Mullins,Ireland,Israel,nationality,41
"Microsoft Office is created by not Google, it is",Microsoft Office is created by, Microsoft,Microsoft Office,Microsoft,Google,science,30
"Riyu Kosaka holds a citizenship from not Ireland, it is",Riyu Kosaka holds a citizenship from, Japan,Riyu Kosaka,Japan,Ireland,nationality,36
"The original language of Manfred was not Dutch, it is",The original language of Manfred was, English,Manfred,English,Dutch,language,36
"Fanny Davies plays the not trumpet, it is",Fanny Davies plays the, piano,Fanny Davies,piano,trumpet,other,22
"Chevrolet Biscayne is created by not Nissan, it is",Chevrolet Biscayne is created by, Chevrolet,Chevrolet Biscayne,Chevrolet,Nissan,science,32
"N M Rothschild & Sons formed in not Edinburgh, it is",N M Rothschild & Sons formed in, London,N M Rothschild & Sons,London,Edinburgh,other,31
"Windows Setup Information File, a product of not Intel, it is","Windows Setup Information File, a product of", Microsoft,Windows Setup Information File,Microsoft,Intel,other,44
"CBS This Morning is to debut on not MTV, it is",CBS This Morning is to debut on, CBS,CBS This Morning,CBS,MTV,other,31
"Airbus A350 is produced by not Triumph, it is",Airbus A350 is produced by, Airbus,Airbus A350,Airbus,Triumph,other,26
"Jeep Wrangler is created by not Fiat, it is",Jeep Wrangler is created by, Chrysler,Jeep Wrangler,Chrysler,Fiat,science,27
"Central African Republic is a part of the continent of not Antarctica, it is",Central African Republic is a part of the continent of, Africa,Central African Republic,Africa,Antarctica,other,54
"Hendrikus Colijn, a native not Russian, it is","Hendrikus Colijn, a native", Dutch,Hendrikus Colijn,Dutch,Russian,other,26
"Microsoft Excel, a product developed by not Apple, it is","Microsoft Excel, a product developed by", Microsoft,Microsoft Excel,Microsoft,Apple,science,39
"University of Cambridge is based in not Philadelphia, it is",University of Cambridge is based in, Cambridge,University of Cambridge,Cambridge,Philadelphia,other,35
"College of Engineering, Pune is located in not Ireland, it is","College of Engineering, Pune is located in", India,"College of Engineering, Pune",India,Ireland,geography,42
"In Romania, the language spoken is not French, it is","In Romania, the language spoken is", Romanian,Romania,Romanian,French,language,34
"Leonardo Silva has a citizenship from not France, it is",Leonardo Silva has a citizenship from, Brazil,Leonardo Silva,Brazil,France,nationality,37
"The official religion of Urwah ibn Mas'ud is not Buddhism, it is",The official religion of Urwah ibn Mas'ud is, Islam,Urwah ibn Mas'ud,Islam,Buddhism,other,44
"Dmitry Muratov, a native not French, it is","Dmitry Muratov, a native", Russian,Dmitry Muratov,Russian,French,other,24
"The official religion of Ahmed I is not Christianity, it is",The official religion of Ahmed I is, Islam,Ahmed I,Islam,Christianity,other,35
"Ferrari 348 is produced by not Toyota, it is",Ferrari 348 is produced by, Ferrari,Ferrari 348,Ferrari,Toyota,other,26
"The official religion of Daniel Patrick Boyd is not Judaism, it is",The official religion of Daniel Patrick Boyd is, Islam,Daniel Patrick Boyd,Islam,Judaism,other,47
"Saint Domnius, who holds the position of not mayor, it is","Saint Domnius, who holds the position of", bishop,Saint Domnius,bishop,mayor,occupation,40
"Ibn Arabi is follower of not Buddhism, it is",Ibn Arabi is follower of, Islam,Ibn Arabi,Islam,Buddhism,other,24
"Muhammad Ahmad ibn ʿAbdallah follows the religion of not Judaism, it is",Muhammad Ahmad ibn ʿAbdallah follows the religion of, Islam,Muhammad Ahmad ibn ʿAbdallah,Islam,Judaism,other,52
"Google Groups, from not Boeing, it is","Google Groups, from", Google,Google Groups,Google,Boeing,other,19
"Toyota Soarer is created by not Nissan, it is",Toyota Soarer is created by, Toyota,Toyota Soarer,Toyota,Nissan,science,27
"Renault Dauphine is developed by not Fiat, it is",Renault Dauphine is developed by, Renault,Renault Dauphine,Renault,Fiat,science,32
"Fortran, developed by not Microsoft, it is","Fortran, developed by", IBM,Fortran,IBM,Microsoft,science,21
"Dominique Pinon is a native speaker of not Swedish, it is",Dominique Pinon is a native speaker of, French,Dominique Pinon,French,Swedish,other,38
"Adobe PageMaker is created by not Microsoft, it is",Adobe PageMaker is created by, Adobe,Adobe PageMaker,Adobe,Microsoft,science,29
"Microsoft PowerPoint is developed by not IBM, it is",Microsoft PowerPoint is developed by, Microsoft,Microsoft PowerPoint,Microsoft,IBM,science,36
"Henry Edward Armstrong is originally from not Athens, it is",Henry Edward Armstrong is originally from, London,Henry Edward Armstrong,London,Athens,other,41
"Largo Island is a part of the continent of not Asia, it is",Largo Island is a part of the continent of, Antarctica,Largo Island,Antarctica,Asia,other,42
"Northern Territory is located in not Canada, it is",Northern Territory is located in, Australia,Northern Territory,Australia,Canada,geography,32
"Honda CBR600RR is produced by not BMW, it is",Honda CBR600RR is produced by, Honda,Honda CBR600RR,Honda,BMW,other,29
"Birmingham City F.C. is named after not Christmas, it is",Birmingham City F.C. is named after, Birmingham,Birmingham City F.C.,Birmingham,Christmas,other,35
"Chevrolet Lumina APV, produced by not Toyota, it is","Chevrolet Lumina APV, produced by", Chevrolet,Chevrolet Lumina APV,Chevrolet,Toyota,other,33
"IBM ViaVoice, a product manufactured by not Apple, it is","IBM ViaVoice, a product manufactured by", IBM,IBM ViaVoice,IBM,Apple,other,39
"Chevrolet Uplander is created by not Ferrari, it is",Chevrolet Uplander is created by, Chevrolet,Chevrolet Uplander,Chevrolet,Ferrari,science,32
"Suzuki Swift is produced by not Fiat, it is",Suzuki Swift is produced by, Suzuki,Suzuki Swift,Suzuki,Fiat,other,27
"iPad 3 was developed by not Microsoft, it is",iPad 3 was developed by, Apple,iPad 3,Apple,Microsoft,science,23
"Rotunde (Vienna) can be found in not Victoria, it is",Rotunde (Vienna) can be found in, Vienna,Rotunde (Vienna),Vienna,Victoria,other,32
"Michel Sardou is a native speaker of not Spanish, it is",Michel Sardou is a native speaker of, French,Michel Sardou,French,Spanish,other,36
"Egyptian Exchange, whose headquarters are in not Philadelphia, it is","Egyptian Exchange, whose headquarters are in", Cairo,Egyptian Exchange,Cairo,Philadelphia,other,44
"Peter Mark Roget was born in not Warsaw, it is",Peter Mark Roget was born in, London,Peter Mark Roget,London,Warsaw,geography,28
"Tour de France, named for not David, it is","Tour de France, named for", France,Tour de France,France,David,other,25
"Wilhelm Heitmeyer, a citizen of not Italy, it is","Wilhelm Heitmeyer, a citizen of", Germany,Wilhelm Heitmeyer,Germany,Italy,nationality,31
"Texas Medical Center can be found in not Victoria, it is",Texas Medical Center can be found in, Texas,Texas Medical Center,Texas,Victoria,other,36
"Jean-Charles Pichegru worked in the city of not Boston, it is",Jean-Charles Pichegru worked in the city of, Paris,Jean-Charles Pichegru,Paris,Boston,geography,43
"Sergej Kraigher, who is a citizen of not Afghanistan, it is","Sergej Kraigher, who is a citizen of", Slovenia,Sergej Kraigher,Slovenia,Afghanistan,nationality,36
"Game Boy Micro, produced by not Nissan, it is","Game Boy Micro, produced by", Nintendo,Game Boy Micro,Nintendo,Nissan,other,27
"Jacques Pierre Brissot worked in not Munich, it is",Jacques Pierre Brissot worked in, Paris,Jacques Pierre Brissot,Paris,Munich,other,32
"The headquarter of Taito Corporation is in not Chennai, it is",The headquarter of Taito Corporation is in, Tokyo,Taito Corporation,Tokyo,Chennai,other,42
"Umar ibn Al-Khattāb died at not Venice, it is",Umar ibn Al-Khattāb died at, Medina,Umar ibn Al-Khattāb,Medina,Venice,other,27
"Gmina Olsztyn is located in the country of not Germany, it is",Gmina Olsztyn is located in the country of, Poland,Gmina Olsztyn,Poland,Germany,geography,42
"Georges Leygues, a native not Greek, it is","Georges Leygues, a native", French,Georges Leygues,French,Greek,other,25
"Godzilla, formulated in not Australia, it is","Godzilla, formulated in", Japan,Godzilla,Japan,Australia,other,23
"Microsoft Write was created by not Apple, it is",Microsoft Write was created by, Microsoft,Microsoft Write,Microsoft,Apple,science,30
"The official language of Vichy France is not German, it is",The official language of Vichy France is, French,Vichy France,French,German,language,40
"Nissan Skyline GT-R is developed by not Suzuki, it is",Nissan Skyline GT-R is developed by, Nissan,Nissan Skyline GT-R,Nissan,Suzuki,science,35
"Final Fantasy Legend II, a product created by not IBM, it is","Final Fantasy Legend II, a product created by", Square,Final Fantasy Legend II,Square,IBM,science,45
"Nissan Juke is developed by not Chevrolet, it is",Nissan Juke is developed by, Nissan,Nissan Juke,Nissan,Chevrolet,science,27
"The native language of Patrick Devedjian is not Russian, it is",The native language of Patrick Devedjian is, French,Patrick Devedjian,French,Russian,language,43
"William Scott, 1st Baron Stowell was employed in not Paris, it is","William Scott, 1st Baron Stowell was employed in", London,"William Scott, 1st Baron Stowell",London,Paris,occupation,48
"The Amazing Race Canada from not Japan, it is",The Amazing Race Canada from, Canada,The Amazing Race Canada,Canada,Japan,other,28
"Chevrolet Camaro (first generation), developed by not Dodge, it is","Chevrolet Camaro (first generation), developed by", Chevrolet,Chevrolet Camaro (first generation),Chevrolet,Dodge,science,49
"Saint-Nectaire, developed in not Australia, it is","Saint-Nectaire, developed in", France,Saint-Nectaire,France,Australia,science,28
"The mother tongue of Paul Doumer is not Russian, it is",The mother tongue of Paul Doumer is, French,Paul Doumer,French,Russian,language,35
"Microsoft Developer Network, from not Calgary, it is","Microsoft Developer Network, from", Microsoft,Microsoft Developer Network,Microsoft,Calgary,other,33
"Maurice Clavel is a native speaker of not English, it is",Maurice Clavel is a native speaker of, French,Maurice Clavel,French,English,other,37
"CPython was named for not Milwaukee, it is",CPython was named for, Python,CPython,Python,Milwaukee,other,21
"Abul Ala Maududi follows the religion of not Scientology, it is",Abul Ala Maududi follows the religion of, Islam,Abul Ala Maududi,Islam,Scientology,other,40
"The headquarter of Freud Communications is located in not Chicago, it is",The headquarter of Freud Communications is located in, London,Freud Communications,London,Chicago,geography,53
"Mannheim City Airport is located in the country of not Fiji, it is",Mannheim City Airport is located in the country of, Germany,Mannheim City Airport,Germany,Fiji,geography,50
"What sport does Sidney Crosby play? They play not baseball, it is",What sport does Sidney Crosby play? They play, hockey,Sidney Crosby,hockey,baseball,other,45
"The official language of Belgium is not Persian, it is",The official language of Belgium is, French,Belgium,French,Persian,language,35
"Margaret Preston is a citizen of not Italy, it is",Margaret Preston is a citizen of, Australia,Margaret Preston,Australia,Italy,nationality,32
"Ibn Saud follows the religion of not Judaism, it is",Ibn Saud follows the religion of, Islam,Ibn Saud,Islam,Judaism,other,32
"What sport does Frank Mahovlich play? They play not soccer, it is",What sport does Frank Mahovlich play? They play, hockey,Frank Mahovlich,hockey,soccer,other,47
"Douglas X-3 Stiletto is developed by not Adobe, it is",Douglas X-3 Stiletto is developed by, Douglas,Douglas X-3 Stiletto,Douglas,Adobe,science,36
"Marco Ureña is a professional not basketball, it is",Marco Ureña is a professional, soccer,Marco Ureña,soccer,basketball,occupation,29
"The mother tongue of Georges Ernest Boulanger is not Spanish, it is",The mother tongue of Georges Ernest Boulanger is, French,Georges Ernest Boulanger,French,Spanish,language,48
"Oscar I of Sweden holds a citizenship from not Mongolia, it is",Oscar I of Sweden holds a citizenship from, Sweden,Oscar I of Sweden,Sweden,Mongolia,nationality,42
"Chromebook, from not Detroit, it is","Chromebook, from", Google,Chromebook,Google,Detroit,other,16
"Yeh Jawaani Hai Deewani, developed in not France, it is","Yeh Jawaani Hai Deewani, developed in", India,Yeh Jawaani Hai Deewani,India,France,science,37
"The mother tongue of Christopher Lambert is not Russian, it is",The mother tongue of Christopher Lambert is, French,Christopher Lambert,French,Russian,language,43
"Sega Pico, created by not Microsoft, it is","Sega Pico, created by", Sega,Sega Pico,Sega,Microsoft,science,21
"Moon Bay belongs to the continent of not Europe, it is",Moon Bay belongs to the continent of, Antarctica,Moon Bay,Antarctica,Europe,other,36
"The official language of Illinois is not French, it is",The official language of Illinois is, English,Illinois,English,French,language,36
"Jupiter mass, named after not Christmas, it is","Jupiter mass, named after", Jupiter,Jupiter mass,Jupiter,Christmas,other,25
"Kae Araki is a citizen of not Australia, it is",Kae Araki is a citizen of, Japan,Kae Araki,Japan,Australia,nationality,25
"The mother tongue of Pieter Cornelis Boutens is not French, it is",The mother tongue of Pieter Cornelis Boutens is, Dutch,Pieter Cornelis Boutens,Dutch,French,language,47
"The official religion of Sylvester I is not Buddhism, it is",The official religion of Sylvester I is, Christianity,Sylvester I,Christianity,Buddhism,other,39
"Southern Netherlands belongs to the continent of not Antarctica, it is",Southern Netherlands belongs to the continent of, Europe,Southern Netherlands,Europe,Antarctica,other,48
"Kouilou-Niari River is a part of the continent of not Antarctica, it is",Kouilou-Niari River is a part of the continent of, Africa,Kouilou-Niari River,Africa,Antarctica,other,49
"Isfahan International Airport, in not Finland, it is","Isfahan International Airport, in", Iran,Isfahan International Airport,Iran,Finland,other,33
"Renault Estafette is created by not Chevrolet, it is",Renault Estafette is created by, Renault,Renault Estafette,Renault,Chevrolet,science,31
"Battle of Jerusalem is located in not Finland, it is",Battle of Jerusalem is located in, Jerusalem,Battle of Jerusalem,Jerusalem,Finland,geography,33
"Robert Erskine Childers, who holds a citizenship from not France, it is","Robert Erskine Childers, who holds a citizenship from", Ireland,Robert Erskine Childers,Ireland,France,nationality,53
"The mother tongue of Achille Varzi is not French, it is",The mother tongue of Achille Varzi is, Italian,Achille Varzi,Italian,French,language,37
"Beast King GoLion was created in the country of not Germany, it is",Beast King GoLion was created in the country of, Japan,Beast King GoLion,Japan,Germany,geography,47
"Sabeer Bhatia, who holds a citizenship from not Canada, it is","Sabeer Bhatia, who holds a citizenship from", India,Sabeer Bhatia,India,Canada,nationality,43
"Jean Victor Marie Moreau has a citizenship from not Sweden, it is",Jean Victor Marie Moreau has a citizenship from, France,Jean Victor Marie Moreau,France,Sweden,nationality,47
"Chevrolet TrailBlazer is produced by not BMW, it is",Chevrolet TrailBlazer is produced by, Chevrolet,Chevrolet TrailBlazer,Chevrolet,BMW,other,36
"Where is Amsterdam Gay Pride? It is located in not Berlin, it is",Where is Amsterdam Gay Pride? It is located in, Amsterdam,Amsterdam Gay Pride,Amsterdam,Berlin,geography,46
"Lupin III, that originated in not Singapore, it is","Lupin III, that originated in", Japan,Lupin III,Japan,Singapore,other,29
"Romain Rolland worked in the city of not Ottawa, it is",Romain Rolland worked in the city of, Paris,Romain Rolland,Paris,Ottawa,geography,36
"The headquarters of Fraser Institute is in not Philadelphia, it is",The headquarters of Fraser Institute is in, Vancouver,Fraser Institute,Vancouver,Philadelphia,other,42
"PlayStation Eye, created by not BMW, it is","PlayStation Eye, created by", Sony,PlayStation Eye,Sony,BMW,science,27
"Mohsen Mirdamadi holds a citizenship from not Denmark, it is",Mohsen Mirdamadi holds a citizenship from, Iran,Mohsen Mirdamadi,Iran,Denmark,nationality,41
"Porsche 936 is created by not Honda, it is",Porsche 936 is created by, Porsche,Porsche 936,Porsche,Honda,science,25
"Where is SCI-FI-LONDON? It is located in not Helsinki, it is",Where is SCI-FI-LONDON? It is located in, London,SCI-FI-LONDON,London,Helsinki,geography,40
"Eberhard Diepgen worked in the city of not Rome, it is",Eberhard Diepgen worked in the city of, Berlin,Eberhard Diepgen,Berlin,Rome,geography,38
"Ryoji Ikeda holds a citizenship from not Canada, it is",Ryoji Ikeda holds a citizenship from, Japan,Ryoji Ikeda,Japan,Canada,nationality,36
"Mimi Heinrich has a citizenship from not Argentina, it is",Mimi Heinrich has a citizenship from, Denmark,Mimi Heinrich,Denmark,Argentina,nationality,36
"The native language of Ginette Leclerc is not Russian, it is",The native language of Ginette Leclerc is, French,Ginette Leclerc,French,Russian,language,41
"iPod Classic, created by not Toyota, it is","iPod Classic, created by", Apple,iPod Classic,Apple,Toyota,science,24
"Sir William Pearce, 1st Baronet found employment in not Boston, it is","Sir William Pearce, 1st Baronet found employment in", London,"Sir William Pearce, 1st Baronet",London,Boston,other,51
"Hermann Schwarz was employed in not Rome, it is",Hermann Schwarz was employed in, Berlin,Hermann Schwarz,Berlin,Rome,occupation,31
"The headquarter of c2c is in not Ottawa, it is",The headquarter of c2c is in, London,c2c,London,Ottawa,other,28
"Unkei, who has a citizenship from not Australia, it is","Unkei, who has a citizenship from", Japan,Unkei,Japan,Australia,nationality,33
"WebKit, a product created by not Google, it is","WebKit, a product created by", Apple,WebKit,Apple,Google,science,28
"Hamtaro originated in not India, it is",Hamtaro originated in, Japan,Hamtaro,Japan,India,other,21
"Dodge Omni is a product of not Chevrolet, it is",Dodge Omni is a product of, Dodge,Dodge Omni,Dodge,Chevrolet,other,26
"tatami, that was formulated in not Canada, it is","tatami, that was formulated in", Japan,tatami,Japan,Canada,other,30
"Thieleman J. van Braght, a native not French, it is","Thieleman J. van Braght, a native", Dutch,Thieleman J. van Braght,Dutch,French,other,33
"Ollie Matson is a professional not basketball, it is",Ollie Matson is a professional, football,Ollie Matson,football,basketball,occupation,30
"RNZAF Base Auckland, named after not Frankfurt, it is","RNZAF Base Auckland, named after", Auckland,RNZAF Base Auckland,Auckland,Frankfurt,other,32
"Theodor Fritsch found employment in not London, it is",Theodor Fritsch found employment in, Berlin,Theodor Fritsch,Berlin,London,other,35
"Michel Aoun, who is a citizen of not Philippines, it is","Michel Aoun, who is a citizen of", Lebanon,Michel Aoun,Lebanon,Philippines,nationality,32
"Rahul Dev Burman holds a citizenship from not Finland, it is",Rahul Dev Burman holds a citizenship from, India,Rahul Dev Burman,India,Finland,nationality,41
"Kazimierz Makarczyk holds a citizenship from not Australia, it is",Kazimierz Makarczyk holds a citizenship from, Poland,Kazimierz Makarczyk,Poland,Australia,nationality,44
"Philippe de Broca was born in not Plymouth, it is",Philippe de Broca was born in, Paris,Philippe de Broca,Paris,Plymouth,geography,29
"Dharmatma, that was formulated in not Canada, it is","Dharmatma, that was formulated in", India,Dharmatma,India,Canada,other,33
"Birmingham Repertory Theatre, in not Athens, it is","Birmingham Repertory Theatre, in", Birmingham,Birmingham Repertory Theatre,Birmingham,Athens,other,32
"Jean Rouch is a native speaker of not Italian, it is",Jean Rouch is a native speaker of, French,Jean Rouch,French,Italian,other,33
"George Glyn, 1st Baron Wolverton worked in the city of not Oslo, it is","George Glyn, 1st Baron Wolverton worked in the city of", London,"George Glyn, 1st Baron Wolverton",London,Oslo,geography,54
"Nissan Teana, created by not Chevrolet, it is","Nissan Teana, created by", Nissan,Nissan Teana,Nissan,Chevrolet,science,24
"Dodge Ram SRT-10, developed by not BMW, it is","Dodge Ram SRT-10, developed by", Dodge,Dodge Ram SRT-10,Dodge,BMW,science,30
"Sergey Aksyonov is a native speaker of not French, it is",Sergey Aksyonov is a native speaker of, Russian,Sergey Aksyonov,Russian,French,other,38
"Berlin State Opera can be found in not Pennsylvania, it is",Berlin State Opera can be found in, Berlin,Berlin State Opera,Berlin,Pennsylvania,other,34
"Adobe Illustrator Artwork was a product of not Apple, it is",Adobe Illustrator Artwork was a product of, Adobe,Adobe Illustrator Artwork,Adobe,Apple,other,42
"Renault Alliance is created by not Nissan, it is",Renault Alliance is created by, Renault,Renault Alliance,Renault,Nissan,science,30
"Massachusetts Bay Transportation Authority is located in not Sheffield, it is",Massachusetts Bay Transportation Authority is located in, Boston,Massachusetts Bay Transportation Authority,Boston,Sheffield,geography,56
"Adobe Creative Suite was created by not Apple, it is",Adobe Creative Suite was created by, Adobe,Adobe Creative Suite,Adobe,Apple,science,35
"Where is Port of Belfast? It is located in not Madrid, it is",Where is Port of Belfast? It is located in, Belfast,Port of Belfast,Belfast,Madrid,geography,42
"Napoleon complex, named after not Damascus, it is","Napoleon complex, named after", Napoleon,Napoleon complex,Napoleon,Damascus,other,29
"BMW M62, produced by not Honda, it is","BMW M62, produced by", BMW,BMW M62,BMW,Honda,other,20
"Maurice Bellemare, who is a citizen of not Italy, it is","Maurice Bellemare, who is a citizen of", Canada,Maurice Bellemare,Canada,Italy,nationality,38
"BMW M is from not Winnipeg, it is",BMW M is from, BMW,BMW M,BMW,Winnipeg,other,13
"Xavier de Maistre, a native not English, it is","Xavier de Maistre, a native", French,Xavier de Maistre,French,English,other,27
"Adrian Knox, a citizen of not Albania, it is","Adrian Knox, a citizen of", Australia,Adrian Knox,Australia,Albania,nationality,25
"Cadillac Escalade, produced by not Toyota, it is","Cadillac Escalade, produced by", Cadillac,Cadillac Escalade,Cadillac,Toyota,other,30
"The native language of Emmanuelle Arsan is not Russian, it is",The native language of Emmanuelle Arsan is, French,Emmanuelle Arsan,French,Russian,language,42
"Hippolyte Le Bas died in the city of not Berlin, it is",Hippolyte Le Bas died in the city of, Paris,Hippolyte Le Bas,Paris,Berlin,geography,36
"Google Ads was developed by not Microsoft, it is",Google Ads was developed by, Google,Google Ads,Google,Microsoft,science,27
"Eric Frenzel, who is a citizen of not Poland, it is","Eric Frenzel, who is a citizen of", Germany,Eric Frenzel,Germany,Poland,nationality,33
"Nintendo e-Reader is created by not Honda, it is",Nintendo e-Reader is created by, Nintendo,Nintendo e-Reader,Nintendo,Honda,science,31
"Robin Renucci is a native speaker of not German, it is",Robin Renucci is a native speaker of, French,Robin Renucci,French,German,other,36
"Amiibo is a product of not IBM, it is",Amiibo is a product of, Nintendo,Amiibo,Nintendo,IBM,other,22
"The official language of Idaho is not Icelandic, it is",The official language of Idaho is, English,Idaho,English,Icelandic,language,33
"Princess Sophie of Greece and Denmark is a citizen of not Austria, it is",Princess Sophie of Greece and Denmark is a citizen of, Greece,Princess Sophie of Greece and Denmark,Greece,Austria,nationality,53
"James Henry Mapleson was born in not Copenhagen, it is",James Henry Mapleson was born in, London,James Henry Mapleson,London,Copenhagen,geography,32
"Rossiyskaya Gazeta was written in not French, it is",Rossiyskaya Gazeta was written in, Russian,Rossiyskaya Gazeta,Russian,French,other,33
"Dodge A100 is developed by not Triumph, it is",Dodge A100 is developed by, Dodge,Dodge A100,Dodge,Triumph,science,26
"Fluminense F.C. is located in the country of not Estonia, it is",Fluminense F.C. is located in the country of, Brazil,Fluminense F.C.,Brazil,Estonia,geography,44
"Dodge 500 is produced by not IBM, it is",Dodge 500 is produced by, Dodge,Dodge 500,Dodge,IBM,other,24
"The native language of Georges Perec is not Russian, it is",The native language of Georges Perec is, French,Georges Perec,French,Russian,language,39
"Claudio Borghi, a citizen of not Italy, it is","Claudio Borghi, a citizen of", Argentina,Claudio Borghi,Argentina,Italy,nationality,28
"Mathieu Bodmer has a citizenship from not Germany, it is",Mathieu Bodmer has a citizenship from, France,Mathieu Bodmer,France,Germany,nationality,37
"The mother tongue of Martine Brochard is not Russian, it is",The mother tongue of Martine Brochard is, French,Martine Brochard,French,Russian,language,40
"NFL on CBS premieres on not NBC, it is",NFL on CBS premieres on, CBS,NFL on CBS,CBS,NBC,other,23
"David Malangi, who is a citizen of not Japan, it is","David Malangi, who is a citizen of", Australia,David Malangi,Australia,Japan,nationality,34
"Microsoft SQL Server is developed by not Apple, it is",Microsoft SQL Server is developed by, Microsoft,Microsoft SQL Server,Microsoft,Apple,science,36
"Toyota Verossa, produced by not Triumph, it is","Toyota Verossa, produced by", Toyota,Toyota Verossa,Toyota,Triumph,other,27
"OS X Yosemite is created by not Microsoft, it is",OS X Yosemite is created by, Apple,OS X Yosemite,Apple,Microsoft,science,27
"Tim Paterson, who works for not BBC, it is","Tim Paterson, who works for", Microsoft,Tim Paterson,Microsoft,BBC,occupation,27
"Aung San Suu Kyi follows the religion of not Christianity, it is",Aung San Suu Kyi follows the religion of, Buddhism,Aung San Suu Kyi,Buddhism,Christianity,other,40
"Rubin Goldmark plays the not violin, it is",Rubin Goldmark plays the, piano,Rubin Goldmark,piano,violin,other,24
"The original language of Nine Months was not Spanish, it is",The original language of Nine Months was, English,Nine Months,English,Spanish,language,40
"The original language of Big Brother Australia is not Italian, it is",The original language of Big Brother Australia is, English,Big Brother Australia,English,Italian,language,49
"Naft Tehran F.C.'s headquarters are in not Moscow, it is",Naft Tehran F.C.'s headquarters are in, Tehran,Naft Tehran F.C.,Tehran,Moscow,other,38
"Kraftwerk was developed in not Canada, it is",Kraftwerk was developed in, Germany,Kraftwerk,Germany,Canada,science,26
"Norwegian literature is written in not Romanian, it is",Norwegian literature is written in, Norwegian,Norwegian literature,Norwegian,Romanian,other,34
"Richard Rawlinson was originally from not Glasgow, it is",Richard Rawlinson was originally from, London,Richard Rawlinson,London,Glasgow,other,37
"Commerzbank, whose headquarters are in not Cincinnati, it is","Commerzbank, whose headquarters are in", Frankfurt,Commerzbank,Frankfurt,Cincinnati,other,38
"The native language of Patrick Rambaud is not English, it is",The native language of Patrick Rambaud is, French,Patrick Rambaud,French,English,language,41
"Georg Klebs, who holds a citizenship from not Norway, it is","Georg Klebs, who holds a citizenship from", Germany,Georg Klebs,Germany,Norway,nationality,41
"Prafulla Chandra Ghosh holds a citizenship from not Germany, it is",Prafulla Chandra Ghosh holds a citizenship from, India,Prafulla Chandra Ghosh,India,Germany,nationality,47
"Adobe Flash Builder, a product created by not Nintendo, it is","Adobe Flash Builder, a product created by", Adobe,Adobe Flash Builder,Adobe,Nintendo,science,41
"T. M. A. Pai holds a citizenship from not Mexico, it is",T. M. A. Pai holds a citizenship from, India,T. M. A. Pai,India,Mexico,nationality,37
"Octave Uzanne is a native speaker of not Dutch, it is",Octave Uzanne is a native speaker of, French,Octave Uzanne,French,Dutch,other,36
"The official religion of First Epistle of John is not Islam, it is",The official religion of First Epistle of John is, Christianity,First Epistle of John,Christianity,Islam,other,49
"Ghatanji is located in the country of not Switzerland, it is",Ghatanji is located in the country of, India,Ghatanji,India,Switzerland,geography,37
"Guatemalan Revolution, located in not India, it is","Guatemalan Revolution, located in", Guatemala,Guatemalan Revolution,Guatemala,India,geography,33
"The Johnny Carson Show premiered on not NBC, it is",The Johnny Carson Show premiered on, CBS,The Johnny Carson Show,CBS,NBC,other,35
"Chevrolet Captiva, produced by not Apple, it is","Chevrolet Captiva, produced by", Chevrolet,Chevrolet Captiva,Chevrolet,Apple,other,30
"Reza Aslan is follower of not Christianity, it is",Reza Aslan is follower of, Islam,Reza Aslan,Islam,Christianity,other,25
"Charles Sturt is a citizen of not Norway, it is",Charles Sturt is a citizen of, Australia,Charles Sturt,Australia,Norway,nationality,29
"Ambrose Bury has a citizenship from not Finland, it is",Ambrose Bury has a citizenship from, Canada,Ambrose Bury,Canada,Finland,nationality,35
"Ludwig von Mises works in the area of not medicine, it is",Ludwig von Mises works in the area of, economics,Ludwig von Mises,economics,medicine,occupation,37
"What sport does Dan Marino play? They play not soccer, it is",What sport does Dan Marino play? They play, football,Dan Marino,football,soccer,other,42
"Thailand belongs to the continent of not Antarctica, it is",Thailand belongs to the continent of, Asia,Thailand,Asia,Antarctica,other,36
"Matija Gubec is originally from not Italy, it is",Matija Gubec is originally from, Croatia,Matija Gubec,Croatia,Italy,other,31
"Khalid Yasin is follower of not Christianity, it is",Khalid Yasin is follower of, Islam,Khalid Yasin,Islam,Christianity,other,27
"Yehuda Leib Maimon took up work in not Florence, it is",Yehuda Leib Maimon took up work in, Jerusalem,Yehuda Leib Maimon,Jerusalem,Florence,other,34
"Jean Petitot, a native not Latin, it is","Jean Petitot, a native", French,Jean Petitot,French,Latin,other,22
"The official religion of Andrew Ibrahim is not Buddhism, it is",The official religion of Andrew Ibrahim is, Islam,Andrew Ibrahim,Islam,Buddhism,other,42
"Ferrari 458 is developed by not Fiat, it is",Ferrari 458 is developed by, Ferrari,Ferrari 458,Ferrari,Fiat,science,27
"Helle Virkner, a citizen of not Switzerland, it is","Helle Virkner, a citizen of", Denmark,Helle Virkner,Denmark,Switzerland,nationality,27
